id_1|id_2|german_group|english_group|english_labels
n02097298|109|Hund|Dog|Scotch terrier, Scottish terrier, Scottie
n02108551|110|Hund|Dog|Tibetan mastiff
n02493793|111|Affe|Monkey|spider monkey, Ateles geoffroyi
n02107142|112|Hund|Dog|Doberman, Doberman pinscher
n02096585|113|Hund|Dog|Boston bull, Boston terrier
n02107574|114|Hund|Dog|Greater Swiss Mountain dog
n02107908|115|Hund|Dog|Appenzeller
n02086240|116|Hund|Dog|Shih-Tzu
n02102973|117|Hund|Dog|Irish water spaniel
n02112018|118|Hund|Dog|Pomeranian
n02093647|119|Hund|Dog|Bedlington terrier
n02397096|120|Schwein|Pig|warthog
n02437312|121|Dromedar|Camel|Arabian camel, dromedary, Camelus dromedarius
n02483708|122|Affe|Monkey|siamang, Hylobates syndactylus, Symphalangus syndactylus
n02097047|123|Hund|Dog|miniature schnauzer
n02106030|124|Hund|Dog|collie
n02099601|125|Hund|Dog|golden retriever
n02093991|126|Hund|Dog|Irish terrier
n02110627|127|Hund|Dog|affenpinscher, monkey pinscher, monkey dog
n02106166|128|Hund|Dog|Border collie
n02326432|129|Hase|Rabbit|hare
n02108089|130|Hund|Dog|boxer
n02097658|131|Hund|Dog|silky terrier, Sydney silky
n02088364|132|Hund|Dog|beagle
n02111129|133|Hund|Dog|Leonberg
n02100236|134|Hund|Dog|German short-haired pointer
n02486261|135|Affe|Monkey|patas, hussar monkey, Erythrocebus patas
n02115913|136|Rothund|Dhole|dhole, Cuon alpinus
n02486410|137|Affe|Monkey|baboon
n02487347|138|Affe|Monkey|macaque
n02099849|139|Hund|Dog|Chesapeake Bay retriever
n02108422|140|Hund|Dog|bull mastiff
n02104029|141|Hund|Dog|kuvasz
n02492035|142|Affe|Monkey|capuchin, ringtail, Cebus capucinus
n02110958|143|Hund|Dog|pug, pug-dog
n02099429|144|Hund|Dog|curly-coated retriever
n02094258|145|Hund|Dog|Norwich terrier
n02099267|146|Hund|Dog|flat-coated retriever
n02395406|147|Schwein|Pig|hog, pig, grunter, squealer, Sus scrofa
n02112350|148|Hund|Dog|keeshond
n02109961|149|Hund|Dog|Eskimo dog, husky
n02101388|150|Hund|Dog|Brittany spaniel
n02113799|151|Hund|Dog|standard poodle
n02095570|152|Hund|Dog|Lakeland terrier
n02128757|153|Wildkatze|Wild cat|snow leopard, ounce, Panthera uncia
n02101006|154|Hund|Dog|Gordon setter
n02115641|155|Dingo|Dingo|dingo, warrigal, warragal, Canis dingo
n02097209|156|Hund|Dog|standard schnauzer
n02342885|157|Hamster|Hamster|hamster
n02097474|158|Hund|Dog|Tibetan terrier, chrysanthemum dog
n02120079|159|Fuchs|Fox|Arctic fox, white fox, Alopex lagopus
n02095314|160|Hund|Dog|wire-haired fox terrier
n02088238|161|Hund|Dog|basset, basset hound
n02408429|162|Wasserbüffel|Buffalo|water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
n02133161|163|Bär|Bear|American black bear, black bear, Ursus americanus, Euarctos americanus
n02328150|164|Hase|Rabbit|Angora, Angora rabbit
n02410509|165|Bison|Bison|bison
n02492660|166|Affe|Monkey|howler monkey, howler
n02398521|167|Nilpferd|Hippopotamus|hippopotamus, hippo, river horse, Hippopotamus amphibius
n02112137|168|Hund|Dog|chow, chow chow
n02510455|169|Panda|Panda|giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
n02093428|170|Hund|Dog|American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
n02105855|171|Hund|Dog|Shetland sheepdog, Shetland sheep dog, Shetland
n02111500|172|Hund|Dog|Great Pyrenees
n02085620|173|Hund|Dog|Chihuahua
n02123045|174|Katze|Cat|tabby, tabby cat
n02490219|175|Affe|Monkey|marmoset
n02099712|176|Hund|Dog|Labrador retriever
n02109525|177|Hund|Dog|Saint Bernard, St Bernard
n02454379|178|Gürteltier|Armadillo|armadillo
n02111889|179|Hund|Dog|Samoyed, Samoyede
n02088632|180|Hund|Dog|bluetick
n02090379|181|Hund|Dog|redbone
n02443114|182|Marder|Weasel|polecat, fitch, foulmart, foumart, Mustela putorius
n02361337|183|Murmeltier|Marmot|marmot
n02105412|184|Hund|Dog|kelpie
n02483362|185|Affe|Monkey|gibbon, Hylobates lar
n02437616|186|Lama|Llama|llama
n02107312|187|Hund|Dog|miniature pinscher
n02325366|188|Hase|Rabbit|wood rabbit, cottontail, cottontail rabbit
n02091032|189|Hund|Dog|Italian greyhound
n02129165|190|Wildkatze|Wild cat|lion, king of beasts, Panthera leo
n02102318|191|Hund|Dog|cocker spaniel, English cocker spaniel, cocker
n02100877|192|Hund|Dog|Irish setter, red setter
n02074367|193|Seekuh|Dugong|dugong, Dugong dugon
n02504013|194|Elefant|Elephant|Indian elephant, Elephas maximus
n02363005|195|Bieber|Beaver|beaver
n02102480|196|Hund|Dog|Sussex spaniel
n02113023|197|Hund|Dog|Pembroke, Pembroke Welsh corgi
n02086646|198|Hund|Dog|Blenheim spaniel
n02497673|199|Lemur|Lemur|Madagascar cat, ring-tailed lemur, Lemur catta
n02087394|200|Hund|Dog|Rhodesian ridgeback
n02127052|201|Wildkatze|Wild cat|lynx, catamount
n02116738|202|Hyäne|Hyena|African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n02488291|203|Affe|Monkey|langur
n02091244|204|Hund|Dog|Ibizan hound, Ibizan Podenco
n02114367|205|Wolf|Wolf|timber wolf, grey wolf, gray wolf, Canis lupus
n02130308|206|Wildkatze|Wild cat|cheetah, chetah, Acinonyx jubatus
n02089973|207|Hund|Dog|English foxhound
n02105251|208|Hund|Dog|briard
n02134418|209|Bär|Bear|sloth bear, Melursus ursinus, Ursus ursinus
n02093754|210|Hund|Dog|Border terrier
n02106662|211|Hund|Dog|German shepherd, German shepherd dog, German police dog, alsatian
n02444819|212|Otter|Otter|otter
n01882714|213|Koala|Koala|koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
n01871265|214|Elefant|Elephant|tusker
n01872401|215|Igel|Anteater|echidna, spiny anteater, anteater
n01877812|216|Känguru|Kangaroo|wallaby, brush kangaroo
n01873310|217|Schnabeltier|Platypus|platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
n01883070|218|Wombat|Wombat|wombat
n04086273|219|Revolver|Revolver|revolver, six-gun, six-shooter
n04507155|220|Regenschirm|Umbrella|umbrella
n04147183|221|Schiff|Ship|schooner
n04254680|222|Ball|Ball|soccer ball
n02672831|223|Akkordeon|Accordion|accordion, piano accordion, squeeze box
n02219486|224|Ameise|Ant|ant, emmet, pismire
n02317335|225|Seestern|Starfish|starfish, sea star
n01968897|226|Perlboot|Nautilus|chambered nautilus, pearly nautilus, nautilus
n03452741|227|Klavier|Piano|grand piano, grand
n03642806|228|Laptop|Laptop|laptop, laptop computer
n07745940|229|Erdbeere|Strawberry|strawberry
n02690373|230|Flugzeug|Airplane|airliner
n04552348|231|Flugzeug|Airplane|warplane, military plane
n02692877|232|Zeppelin|Airship|airship, dirigible
n02782093|233|Ballon|Balloon|balloon
n04266014|234|Space Shuttle|Space shuttle|space shuttle
n03344393|235|Boot|Boat|fireboat
n03447447|236|Gondel|Gondola|gondola
n04273569|237|Boot|Boat|speedboat
n03662601|238|Boot|Boat|lifeboat
n02951358|239|Boot|Boat|boat
n04612504|240|Boot|Boat|yawl
n02981792|241|Schiff|Ship|catamaran
n04483307|242|Schiff|Ship|trimaran
n03095699|243|Schiff|Ship|container ship, containership, container vessel
n03673027|244|Schiff|Ship|liner, ocean liner
n03947888|245|Schiff|Ship|pirate, pirate ship
n02687172|246|Schiff|Ship|aircraft carrier, carrier, flattop, attack aircraft carrier
n04347754|247|U-Boot|Submarine|submarine, pigboat, sub, U-boat
n04606251|248|Wrack|Wreck|wreck
n03478589|249|Panzer|Tank|half track
n04389033|250|Panzer|Tank|tank, army tank, armored combat vehicle, armoured combat vehicle
n03773504|251|Rakete|Missile|missile
n02860847|252|Bobschlitten|Bobsled|bobsled, bobsleigh, bob
n03218198|253|Hundeschlitten|Dogsled|dogsled, dog sled, dog sleigh
n02835271|254|Fahrrad|Bicycle|bicycle-built-for-two, tandem bicycle, tandem
n03792782|255|Fahrrad|Bicycle|mountain bike, all-terrain bike, off-roader
n03393912|256|Zug|Train|freight car
n03895866|257|Zug|Train|passenger car, coach, carriage
n02797295|258|Karren|Cart|barrow, garden cart, lawn cart, wheelbarrow
n04204347|259|Einkaufswagen|Shopping cart|shopping cart
n03791053|260|Roller|Scooter|motor scooter, scooter
n03384352|261|Gabelstapler|Forklift|forklift
n03272562|262|Zug|Train|electric locomotive
n04310018|263|Zug|Train|steam locomotive
n02704792|264|Amphibienfahrzeug|Amphibian|amphibian, amphibious vehicle
n02701002|265|Auto|Car|ambulance
n02814533|266|Auto|Car|beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n02930766|267|Taxi|Cab|cab, hack, taxi, taxicab
n03100240|268|Auto|Car|convertible
n03594945|269|Auto|Car|jeep, landrover
n03670208|270|Limousine|Limousine|limousine, limo
n03770679|271|Auto|Car|minivan
n03777568|272|Auto|Car|Model T
n04037443|273|Rennfahrer|Race car|racer, race car, racing car
n04285008|274|Auto|Car|sports car, sport car
n03444034|275|Go-Kart|Go-kart|go-kart
n03445924|276|Golfwagen|Golf cart|golfcart, golf cart
n03785016|277|Moped|Moped|moped
n04252225|278|Schneepflug|Snowplow|snowplow, snowplough
n03345487|279|Feuerwehrauto|Fire truck|fire engine, fire truck
n03417042|280|Müllwagen|Garbage truck|garbage truck, dustcart
n03930630|281|Lastkraftwagen|Truck|pickup, pickup truck
n04461696|282|Lastkraftwagen|Truck|tow truck, tow car, wrecker
n04467665|283|Lastkraftwagen|Truck|trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
n03796401|284|Lastkraftwagen|Truck|moving van
n03977966|285|Auto|Car|Police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
n04065272|286|Wohnmobil|RV|recreational vehicle, RV, R.V.
n04335435|287|Straßenbahn|Tram|streetcar, tram, tramcar, trolley, trolley car
n04252077|288|Snowmobil|Snowmobile|snowmobile
n04465501|289|Traktor|Tractor|tractor
n03776460|290|Mobilheim|Mobile home|mobile home, manufactured home
n04482393|291|Dreirad|Tricycle|tricycle, trike, velocipede
n04509417|292|Einrad|Unicycle|unicycle, monocycle
n03538406|293|Pferdewagen|Horse cart|horse cart, horse-cart
n03599486|294|Rikscha|Rickshaw|jinrikisha, ricksha, rickshaw
n03868242|295|Karren|Cart|oxcart
n02804414|296|Babykorb|Bassinet|bassinet
n03125729|297|Wiege|Cradle|cradle
n03131574|298|Kinderbett|Crib|crib, cot
n03388549|299|Bett|Bed|four-poster
n02870880|300|Bücherregal|Bookcase|bookcase
n03018349|301|Kabinett|Cabinet|china cabinet, china closet
n03742115|302|Hausapotheke|Medicine cabinet|medicine chest, medicine cabinet
n03016953|303|Kabinett|Cabinet|chiffonier, commode
n04380533|304|Lampe|Lamp|table lamp
n03337140|305|Ordner|File|file, file cabinet, filing cabinet
n03891251|306|Parkbank|Park bench|park bench
n02791124|307|Stuhl|Chair|barber chair
n04429376|308|Thron|Throne|throne
n03376595|309|Stuhl|Chair|folding chair
n04099969|310|Stuhl|Chair|rocking chair, rocker
n04344873|311|Sofa|Couch|studio couch, day bed
n04447861|312|Toilette|Toilet|toilet seat
n03179701|313|Tisch|Table|desk
n03982430|314|Billardtisch|Pool table|pool table, billiard table, snooker table
n03201208|315|Tisch|Table|dining table, board
n03290653|316|Kabinett|Cabinet|entertainment center
n04550184|317|Kleiderschrank|Wardrobe|wardrobe, closet, press
n07742313|318|Apfel|Apple|Granny Smith
n07747607|319|Orange|Orange|orange
n07749582|320|Zitrone|Lemon|lemon
n07753113|321|Feige|Fig|fig
n07753275|322|Ananas|Pineapple|pineapple, ananas
n07753592|323|Banane|Banana|banana
n07754684|324|Jackfrucht|Jackfruit|jackfruit, jak, jack
n07760859|325|Zimtapfel|Custard apple|custard apple
n07768694|326|Granatapfel|Pomegranate|pomegranate
n12267677|327|Eichel|Acorn|acorn
n12620546|328|Hüfte|Rosehip|hip, rose hip, rosehip
n13133613|329|Mais|Corn|ear, spike, capitulum
n11879895|330|Raps|Rapeseed|rapeseed
n12144580|331|Mais|Corn|corn
n12768682|332|Kastanie|Buckeye|buckeye, horse chestnut, conker
n03854065|333|Organ|Organ|organ, pipe organ
n04515003|334|Klavier|Piano|upright, upright piano
n03017168|335|Glockenspiel|Bell|chime, bell, gong
n03249569|336|Trommel|Drum|drum, membranophone, tympan
n03447721|337|Gong|Gong|gong, tam-tam
n03720891|338|Maraca|Maraca|maraca
n03721384|339|Marimba|Marimba|marimba, xylophone
n04311174|340|Trommel|Drum|steel drum
n02787622|341|Banjo|Banjo|banjo
n02992211|342|Cello|Cello|cello, violoncello
n04536866|343|Violine|Violin|violin, fiddle
n03495258|344|Harfe|Harp|harp
n02676566|345|Guitarre|Guitar|acoustic guitar
n03272010|346|Guitarre|Guitar|electric guitar
n03110669|347|Kornett|Cornet|cornet, horn, trumpet, trump
n03394916|348|Horn|Horn|French horn, horn
n04487394|349|Posaune|Trombone|trombone
n03494278|350|Mundharmonika|Harmonica|harmonica, mouth organ, harp, mouth harp
n03840681|351|Okarina|Ocarina|ocarina, sweet potato
n03884397|352|Panflöte|Panpipe|panpipe, pandean pipe, syrinx
n02804610|353|Fagott|Bassoon|bassoon
n03838899|354|Oboe|Oboe|oboe, hautboy, hautbois
n04141076|355|Saxophon|Saxophone|sax, saxophone
n03372029|356|Flöte|Flute|flute, transverse flute
n11939491|357|Blume|Flower|daisy
n12057211|358|Blume|Flower|yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
n09246464|359|Klippe|Cliff|cliff, drop, drop-off
n09468604|360|Tal|Valley|valley, vale
n09193705|361|Berg|Mountain|alp
n09472597|362|Vulkan|Volcano|volcano
n09399592|363|Vorgebirge|Promontory|promontory, headland, head, foreland
n09421951|364|Sandbank|Sandbar|sandbar, sand bar
n09256479|365|Korallenriff|Coral reef|coral reef
n09332890|366|Seeufer|Lakeside|lakeside, lakeshore
n09428293|367|Strand|Seashore|seashore, coast, seacoast, sea-coast
n09288635|368|Geysir|Geyser|geyser
n03498962|369|Axt|Axe|hatchet
n03041632|370|Axt|Axe|cleaver, meat cleaver, chopper
n03658185|371|Brieföffner|Letter opener|letter opener, paper knife, paperknife
n03954731|372|Hobel|Woodworking plane|plane, carpenter's plane, woodworking plane
n03995372|373|Bohrmaschine|Power drill|power drill
n03649909|374|Rasenmäher|Lawn mower|lawn mower, mower
n03481172|375|Hammer|Hammer|hammer
n03109150|376|Korkenzieher|Corkscrew|corkscrew, bottle screw
n02951585|377|Dosenöffner|Can opener|can opener, tin opener
n03970156|378|Stempel|Plunger|plunger, plumber's helper
n04154565|379|Schraubenzieher|Screwdriver|screwdriver
n04208210|380|Schaufel|Shovel|shovel
n03967562|381|Pflug|Plough|plow, plough
n03000684|382|Kettensäge|Chain saw|chain saw, chainsaw
n01514668|383|Vogel|Bird|cock
n01514859|384|Vogel|Bird|hen
n01518878|385|Vogel|Bird|ostrich, Struthio camelus
n01530575|386|Vogel|Bird|brambling, Fringilla montifringilla
n01531178|387|Vogel|Bird|goldfinch, Carduelis carduelis
n01532829|388|Vogel|Bird|house finch, linnet, Carpodacus mexicanus
n01534433|389|Vogel|Bird|junco, snowbird
n01537544|390|Vogel|Bird|indigo bunting, indigo finch, indigo bird, Passerina cyanea
n01558993|391|Vogel|Bird|robin, American robin, Turdus migratorius
n01560419|392|Vogel|Bird|bulbul
n01580077|393|Vogel|Bird|jay
n01582220|394|Vogel|Bird|magpie
n01592084|395|Vogel|Bird|chickadee
n01601694|396|Vogel|Bird|water ouzel, dipper
n01608432|397|Vogel|Bird|kite
n01614925|398|Vogel|Bird|bald eagle, American eagle, Haliaeetus leucocephalus
n01616318|399|Vogel|Bird|vulture
n01622779|400|Vogel|Bird|great grey owl, great gray owl, Strix nebulosa
n01795545|401|Vogel|Bird|black grouse
n01796340|402|Vogel|Bird|ptarmigan
n01797886|403|Vogel|Bird|ruffed grouse, partridge, Bonasa umbellus
n01798484|404|Vogel|Bird|prairie chicken, prairie grouse, prairie fowl
n01806143|405|Vogel|Bird|peacock
n01806567|406|Vogel|Bird|quail
n01807496|407|Vogel|Bird|partridge
n01817953|408|Vogel|Bird|African grey, African gray, Psittacus erithacus
n01818515|409|Vogel|Bird|macaw
n01819313|410|Vogel|Bird|sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
n01820546|411|Vogel|Bird|lorikeet
n01824575|412|Vogel|Bird|coucal
n01828970|413|Vogel|Bird|bee eater
n01829413|414|Vogel|Bird|hornbill
n01833805|415|Vogel|Bird|hummingbird
n01843065|416|Vogel|Bird|jacamar
n01843383|417|Vogel|Bird|toucan
n01847000|418|Vogel|Bird|drake
n01855032|419|Vogel|Bird|red-breasted merganser, Mergus serrator
n01855672|420|Vogel|Bird|goose
n01860187|421|Vogel|Bird|black swan, Cygnus atratus
n02002556|422|Vogel|Bird|white stork, Ciconia ciconia
n02002724|423|Vogel|Bird|black stork, Ciconia nigra
n02006656|424|Vogel|Bird|spoonbill
n02007558|425|Vogel|Bird|flamingo
n02009912|426|Vogel|Bird|American egret, great white heron, Egretta albus
n02009229|427|Vogel|Bird|little blue heron, Egretta caerulea
n02011460|428|Vogel|Bird|bittern
n02012849|429|Vogel|Bird|crane
n02013706|430|Vogel|Bird|limpkin, Aramus pictus
n02018207|431|Vogel|Bird|American coot, marsh hen, mud hen, water hen, Fulica americana
n02018795|432|Vogel|Bird|bustard
n02025239|433|Vogel|Bird|ruddy turnstone, Arenaria interpres
n02027492|434|Vogel|Bird|red-backed sandpiper, dunlin, Erolia alpina
n02028035|435|Vogel|Bird|redshank, Tringa totanus
n02033041|436|Vogel|Bird|dowitcher
n02037110|437|Vogel|Bird|oystercatcher, oyster catcher
n02017213|438|Vogel|Bird|European gallinule, Porphyrio porphyrio
n02051845|439|Vogel|Bird|pelican
n02056570|440|Vogel|Bird|king penguin, Aptenodytes patagonica
n02058221|441|Vogel|Bird|albatross, mollymawk
n01484850|442|Hai|Shark|great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
n01491361|443|Hai|Shark|tiger shark, Galeocerdo cuvieri
n01494475|444|Hai|Shark|hammerhead, hammerhead shark
n01496331|445|Rochen|Ray|electric ray, crampfish, numbfish, torpedo
n01498041|446|Rochen|Ray|stingray
n02514041|447|Fisch|Fish|barracouta, snoek
n02536864|448|Fisch|Fish|coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
n01440764|449|Fisch|Fish|tench, Tinca tinca
n01443537|450|Fisch|Fish|goldfish, Carassius auratus
n02526121|451|Aal|Fish|eel
n02606052|452|Fisch|Fish|rock beauty, Holocanthus tricolor
n02607072|453|Fisch|Fish|anemone fish
n02643566|454|Fisch|Fish|lionfish
n02655020|455|Fisch|Fish|puffer, pufferfish, blowfish, globefish
n02640242|456|Fisch|Fish|sturgeon
n02641379|457|Fisch|Fish|gar, garfish, garpike, billfish, Lepisosteus osseus
n01664065|458|Schildkröte|Turtle|loggerhead, loggerhead turtle, Caretta caretta
n01665541|459|Schildkröte|Turtle|leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
n01667114|460|Schildkröte|Turtle|mud turtle
n01667778|461|Schildkröte|Turtle|terrapin
n01669191|462|Schildkröte|Turtle|box turtle, box tortoise
n01675722|463|Echse|Lizard|banded gecko
n01677366|464|Echse|Lizard|common iguana, iguana, Iguana iguana
n01682714|465|Echse|Lizard|American chameleon, anole, Anolis carolinensis
n01685808|466|Echse|Lizard|whiptail, whiptail lizard
n01687978|467|Echse|Lizard|agama
n01688243|468|Echse|Lizard|frilled lizard, Chlamydosaurus kingi
n01689811|469|Echse|Lizard|alligator lizard
n01692333|470|Echse|Lizard|Gila monster, Heloderma suspectum
n01693334|471|Echse|Lizard|green lizard, Lacerta viridis
n01694178|472|Echse|Lizard|African chameleon, Chamaeleo chamaeleon
n01695060|473|Echse|Lizard|Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
n01704323|474|Dinosaurier|Dinosaur|triceratops
n01697457|475|Krokodil|Crocodile|African crocodile, Nile crocodile, Crocodylus niloticus
n01698640|476|Alligator|Alligator|American alligator, Alligator mississipiensis
n01728572|477|Schlange|Snake|thunder snake, worm snake, Carphophis amoenus
n01728920|478|Schlange|Snake|ringneck snake, ring-necked snake, ring snake
n01729322|479|Schlange|Snake|hognose snake, puff adder, sand viper
n01729977|480|Schlange|Snake|green snake, grass snake
n01734418|481|Schlange|Snake|king snake, kingsnake
n01735189|482|Schlange|Snake|garter snake, grass snake
n01737021|483|Schlange|Snake|water snake
n01739381|484|Schlange|Snake|vine snake
n01740131|485|Schlange|Snake|night snake, Hypsiglena torquata
n01742172|486|Schlange|Snake|boa constrictor, Constrictor constrictor
n01744401|487|Schlange|Snake|rock python, rock snake, Python sebae
n01748264|488|Schlange|Snake|Indian cobra, Naja naja
n01749939|489|Schlange|Snake|green mamba
n01751748|490|Schlange|Snake|sea snake
n01753488|491|Schlange|Snake|horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
n01755581|492|Schlange|Snake|diamondback, diamondback rattlesnake, Crotalus adamanteus
n01756291|493|Schlange|Snake|sidewinder, horned rattlesnake, Crotalus cerastes
